                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0349,                 4.4287,                 1.3409,                0.36276,                  0.275,                0.13661,                0.08228,                0.87119,                 5.8613,                  1.305,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.0754,                 4.3668,                 1.3889,                0.40361,                    0.4,                0.26619,                0.20071,                0.83353,                 4.5611,                  1.276,               0.090093,              0.0010927,              0.0010927
                      2,                  0.932,                 3.1217,                 1.2941,                0.51481,                0.67269,                0.66099,                0.55373,                0.70269,                 3.6195,                 1.1381,               0.084678,              0.0016776,              0.0016776
                      3,                 0.8731,                 2.0245,                 1.2195,                0.79661,                0.73997,                0.83898,                0.70183,                0.74608,                  2.039,                 1.1203,               0.079254,              0.0022545,              0.0022545
                      4,                   0.76,                 1.3804,                 1.1116,                0.82081,                0.81127,                0.93494,                0.77273,                0.71969,                 1.4426,                 1.1067,               0.073823,              0.0028234,              0.0028234
                      5,                0.70534,                 1.0539,                 1.0826,                0.87303,                0.88759,                0.98667,                0.81891,                0.66042,                 1.0172,                 1.0816,               0.068385,              0.0033845,              0.0033845
                      6,                0.67822,                0.90934,                 1.0514,                0.95086,                0.93162,                  0.985,                0.83077,                0.65062,                0.83557,                 1.0865,               0.062938,              0.0039376,              0.0039376
                      7,                0.69254,                0.83296,                 1.0353,                 0.9017,                0.90667,                0.97556,                0.83043,                0.64386,                0.85746,                 1.0742,               0.057483,              0.0044829,              0.0044829
                      8,                0.66671,                0.78397,                 1.0276,                0.95097,                0.93613,                   0.99,                0.81779,                0.73706,                0.72487,                 1.1333,                0.05202,              0.0050202,              0.0050202
                      9,                0.70493,                0.76031,                 1.0336,                0.96583,                0.91969,                  0.995,                0.84096,                0.69438,                0.62003,                 1.1054,                0.04655,              0.0055495,              0.0055495
                     10,                0.70222,                0.78182,                 1.0489,                0.90751,                0.95021,                  0.995,                0.82393,                0.72658,                 0.9892,                 1.1092,               0.041071,               0.006071,               0.006071
                     11,                0.66756,                0.70076,                0.99892,                0.93271,                0.93561,                  0.995,                0.83913,                 0.6917,                0.62624,                 1.1049,               0.035585,              0.0065845,              0.0065845
                     12,                0.70359,                0.70355,                 1.0353,                0.88018,                 0.9345,                0.97323,                0.79109,                0.76162,                0.67153,                 1.1474,                0.03009,              0.0070902,              0.0070902
                     13,                0.72362,                0.72637,                 1.0596,                0.89523,                0.92987,                  0.995,                0.81137,                0.73585,                0.60323,                 1.1172,               0.024588,              0.0075879,              0.0075879
                     14,                0.68899,                 0.6806,                 1.0556,                0.86384,                0.96988,                  0.995,                0.82582,                0.66537,                0.86881,                  1.074,               0.019078,              0.0080776,              0.0080776
                     15,                 0.7378,                0.68483,                 1.0461,                0.84478,                0.94488,                  0.985,                0.77362,                0.76334,                 1.0774,                 1.2232,                0.01356,              0.0085595,              0.0085595
                     16,                0.74153,                0.65861,                  1.078,                0.86811,                0.94124,                0.96909,                0.74587,                0.88512,                0.84503,                 1.3404,               0.008944,               0.008944,               0.008944
                     17,                0.74614,                0.61108,                 1.0532,                0.77908,                0.93429,                0.93938,                0.72188,                0.85925,                0.79639,                 1.3062,               0.008944,               0.008944,               0.008944
                     18,                0.73481,                0.64875,                 1.0505,                0.94086,                0.87593,                0.96556,                0.80071,                0.71232,                0.86297,                 1.1812,               0.008878,               0.008878,               0.008878
                     19,                 0.7491,                0.62876,                 1.0619,                0.91087,                  0.825,                0.86713,                 0.6509,                0.91979,                 1.3995,                 1.3133,               0.008812,               0.008812,               0.008812
                     20,                0.77422,                0.67402,                 1.1008,                0.83815,                0.90333,                0.94069,                0.72244,                0.90911,                 1.0347,                 1.3529,               0.008746,               0.008746,               0.008746
                     21,                0.79254,                0.70332,                  1.088,                0.84685,                0.84916,                0.91417,                0.67686,                 0.9186,                0.99346,                 1.4088,                0.00868,                0.00868,                0.00868
                     22,                0.71965,                 0.6654,                 1.0563,                0.75509,                0.87785,                0.94569,                0.67405,                0.96513,                 1.0834,                 1.4223,               0.008614,               0.008614,               0.008614
                     23,                0.77078,                0.60264,                 1.0847,                0.85566,                0.78388,                0.90012,                0.59904,                 1.0553,                 1.4431,                 1.4357,               0.008548,               0.008548,               0.008548
                     24,                0.77387,                0.65022,                 1.0991,                0.78867,                 0.8697,                0.93186,                 0.7202,                0.83518,                 1.4556,                 1.2523,               0.008482,               0.008482,               0.008482
                     25,                0.79277,                 0.6057,                 1.0922,                0.75861,                0.91305,                0.94662,                0.76386,                 0.8313,                  1.507,                 1.3016,               0.008416,               0.008416,               0.008416
                     26,                0.77193,                0.61368,                 1.1093,                0.79067,                 0.9643,                0.96804,                0.77131,                0.80747,                0.92664,                 1.2367,                0.00835,                0.00835,                0.00835
                     27,                0.75622,                0.54396,                 1.0555,                0.88085,                0.90114,                  0.985,                0.81695,                0.71846,                0.87643,                 1.1611,               0.008284,               0.008284,               0.008284
                     28,                0.73077,                0.55157,                 1.0542,                0.81368,                0.94942,                  0.985,                0.80436,                 0.7899,                0.80321,                  1.241,               0.008218,               0.008218,               0.008218
                     29,                0.72595,                0.56515,                 1.0609,                0.88701,                0.92091,                  0.995,                0.79936,                0.75771,                0.68214,                 1.1951,               0.008152,               0.008152,               0.008152
                     30,                0.70957,                0.57093,                 1.0584,                 0.8959,                0.91608,                  0.995,                0.80242,                0.77906,                0.76838,                 1.2211,               0.008086,               0.008086,               0.008086
                     31,                0.70116,                0.53609,                 1.0684,                0.93944,                 0.9228,                0.96833,                0.81258,                0.72991,                0.63135,                 1.1713,                0.00802,                0.00802,                0.00802
                     32,                0.72166,                0.55164,                 1.0598,                0.87341,                0.94122,                  0.985,                0.72379,                0.87991,                0.74061,                 1.4466,               0.007954,               0.007954,               0.007954
                     33,                0.69374,                0.56089,                 1.0344,                0.95084,                0.98018,                  0.995,                0.81315,                0.74344,                0.55701,                 1.2014,               0.007888,               0.007888,               0.007888
                     34,                0.70054,                0.54461,                 1.0616,                0.89711,                0.99531,                  0.995,                0.79934,                0.77952,                0.62106,                 1.2441,               0.007822,               0.007822,               0.007822
                     35,                0.70135,                0.51397,                 1.0374,                0.94287,                0.96996,                  0.995,                0.80207,                0.70922,                0.55971,                 1.1394,               0.007756,               0.007756,               0.007756
